TIME_LEVEL,GOAL_MINUTE,GOAL_MALE,GOAL_FEMALE,GOAL
2:10:01~2:20:00,20,30 ,0 ,30 
2:20:01~2:30:00,30,35 ,1 ,36 
2:30:01~2:40:00,40,73 ,3 ,76 
2:40:01~2:50:00,50,151 ,3 ,154 
2:50:01~3:00:00,60,332 ,15 ,347 
3:00:01~3:10:00,70,284 ,25 ,309 
3:10:01~3:20:00,80,455 ,53 ,508 
3:20:01~3:30:00,90,583 ,71 ,654 
3:30:01~3:40:00,100,548 ,81 ,629 
3:40:01~3:50:00,110,685 ,94 ,779 
3:50:01~4:00:00,120,932 ,142 ,1074 
4:00:01~4:10:00,130,643 ,140 ,783 
4:10:01~4:20:00,140,833 ,163 ,996 
4:20:01~4:30:00,150,837 ,181 ,1018 
4:30:01~4:40:00,160,759 ,196 ,955 
4:40:01~4:50:00,170,791 ,213 ,1004 
4:50:01~5:00:00,180,860 ,250 ,1110 
5:00:01~5:10:00,190,718 ,208 ,926 
5:10:01~5:20:00,200,679 ,191 ,870 
5:20:01~5:30:00,210,698 ,208 ,906 
5:30:01~5:40:00,220,663 ,218 ,881 
5:40:01~5:50:00,230,729 ,206 ,935 
5:50:01~,360,1196 ,339 ,1535 
